portfolio_trade_id,portfolio_config_hash,source_trade_id,event_id,symbol,name,market,sector,industry,signal_date,entry_date,exit_date,holding_days,entry_price,exit_price,shares,ranking_method,rank_order,rank_value,buy_notional,sell_notional,gross_pnl,net_pnl,gross_return,net_return,buy_commission,sell_commission,sell_tax,slippage_cost,total_cost,fill_quality_score,day0_turnover_twd,volume_ratio_20d,consecutive_limit_up_count,bull_regime,bear_regime,weak_market_day,index_data_available,config_json,candidate_hash,_diagnostic_row_id,trade_id,config_hash
c74f42df05036cbd2ff4,f2ae5ec04c15,77ed26a04bced64c6da9,TPEX:6140:20240109:closed_limit_up:42b4ad41a115,6140,訊達電腦,TPEX,Technology/Electronics,Information Services,2024-01-09,2024-01-09,2024-01-10,1,34.75,36.05,5000,fill_quality_score,1,100.0,173750.0,180250.0,6500.0,5641.004,0.03741007194244604,0.03246621007194245,69.32625,71.91975000000001,540.75,177.0,858.996,100.0,835767863.0,3.128628748291329,1.0,False,False,False,True,"{""avoid_weak_sectors"": false, ""commission_discount"": 0.28, ""commission_rate"": 0.001425, ""fixed_notional_twd"": 300000.0, ""initial_capital_twd"": 1000000.0, ""max_gross_exposure_pct"": 1.0, ""max_notional_per_industry_pct"": 0.35, ""max_notional_per_sector_pct"": 0.7, ""max_notional_per_symbol_pct"": 0.2, ""max_positions_per_day"": 5, ""max_trades_per_symbol_per_month"": 5, ""minimum_commission_twd"": 20.0, ""not_bear_regime"": false, ""random_seed"": 42, ""ranking_method"": ""fill_quality_score"", ""sector_allowlist"": null, ""sell_tax_rate"": 0.003, ""sizing_method"": ""fixed"", ""slippage_bps_per_side"": 5.0}",097dd332,0,c74f42df05036cbd2ff4,097dd332
11aecf31f1c3a29b5a2c,f2ae5ec04c15,77bc77452a86139b5de6,TPEX:3287:20240109:closed_limit_up:08574f04c415,3287,廣寰科,TPEX,Technology/Electronics,Computer/Peripheral,2024-01-09,2024-01-09,2024-01-10,1,39.4,41.85,5000,fill_quality_score,2,90.0,197000.0,209250.0,12250.0,11257.03125,0.06218274111675127,0.05714229060913706,78.60300000000001,83.49075,627.75,203.125,992.96875,90.0,758953929.0,5.474603905216984,3.0,False,False,False,True,"{""avoid_weak_sectors"": false, ""commission_discount"": 0.28, ""commission_rate"": 0.001425, ""fixed_notional_twd"": 300000.0, ""initial_capital_twd"": 1000000.0, ""max_gross_exposure_pct"": 1.0, ""max_notional_per_industry_pct"": 0.35, ""max_notional_per_sector_pct"": 0.7, ""max_notional_per_symbol_pct"": 0.2, ""max_positions_per_day"": 5, ""max_trades_per_symbol_per_month"": 5, ""minimum_commission_twd"": 20.0, ""not_bear_regime"": false, ""random_seed"": 42, ""ranking_method"": ""fill_quality_score"", ""sector_allowlist"": null, ""sell_tax_rate"": 0.003, ""sizing_method"": ""fixed"", ""slippage_bps_per_side"": 5.0}",097dd332,1,11aecf31f1c3a29b5a2c,097dd332
b3154889bca343dd0f48,f2ae5ec04c15,820be157687a2f8f0124,TWSE:3055:20240109:closed_limit_up:7f7bd68cb206,3055,蔚華科,TWSE,MISSING_SECTOR,MISSING_INDUSTRY,2024-01-09,2024-01-09,2024-01-11,2,45.75,45.35,4000,fill_quality_score,3,65.0,183000.0,181400.0,-1600.0,-2471.7956000000004,-0.008743169398907104,-0.013507079781420767,73.01700000000001,72.3786,544.2,182.20000000000002,871.7956000000001,65.0,290167524.0,11.262392508029144,1.0,False,False,False,True,"{""avoid_weak_sectors"": false, ""commission_discount"": 0.28, ""commission_rate"": 0.001425, ""fixed_notional_twd"": 300000.0, ""initial_capital_twd"": 1000000.0, ""max_gross_exposure_pct"": 1.0, ""max_notional_per_industry_pct"": 0.35, ""max_notional_per_sector_pct"": 0.7, ""max_notional_per_symbol_pct"": 0.2, ""max_positions_per_day"": 5, ""max_trades_per_symbol_per_month"": 5, ""minimum_commission_twd"": 20.0, ""not_bear_regime"": false, ""random_seed"": 42, ""ranking_method"": ""fill_quality_score"", ""sector_allowlist"": null, ""sell_tax_rate"": 0.003, ""sizing_method"": ""fixed"", ""slippage_bps_per_side"": 5.0}",097dd332,2,b3154889bca343dd0f48,097dd332
3255da97abbbd813fd76,f2ae5ec04c15,f8f36c8ce0ef7bf85052,TWSE:4956:20240109:closed_limit_up:d2d97225bed2,4956,光鋐,TWSE,MISSING_SECTOR,MISSING_INDUSTRY,2024-01-09,2024-01-09,2024-01-11,2,22.05,24.4,7000,fill_quality_score,4,65.0,154350.0,170800.0,16450.0,15645.29015,0.10657596371882086,0.10136242403628118,61.58565000000001,68.14920000000001,512.4,162.57500000000002,804.7098500000001,65.0,1032339080.0,44.7887198060892,3.0,False,False,False,True,"{""avoid_weak_sectors"": false, ""commission_discount"": 0.28, ""commission_rate"": 0.001425, ""fixed_notional_twd"": 300000.0, ""initial_capital_twd"": 1000000.0, ""max_gross_exposure_pct"": 1.0, ""max_notional_per_industry_pct"": 0.35, ""max_notional_per_sector_pct"": 0.7, ""max_notional_per_symbol_pct"": 0.2, ""max_positions_per_day"": 5, ""max_trades_per_symbol_per_month"": 5, ""minimum_commission_twd"": 20.0, ""not_bear_regime"": false, ""random_seed"": 42, ""ranking_method"": ""fill_quality_score"", ""sector_allowlist"": null, ""sell_tax_rate"": 0.003, ""sizing_method"": ""fixed"", ""slippage_bps_per_side"": 5.0}",097dd332,3,3255da97abbbd813fd76,097dd332
918447fb77aaa0cc865a,f2ae5ec04c15,cb56bdc384a18b0f4876,TPEX:8096:20240110:closed_limit_up:17a092d404ef,8096,擎亞,TPEX,Technology/Electronics,Electronic Distribution,2024-01-10,2024-01-10,2024-01-11,1,20.65,21.35,9000,fill_quality_score,1,100.0,185850.0,192150.0,6300.0,5383.728,0.03389830508474576,0.02896813559322034,74.15415000000002,76.66785000000002,576.45,189.0,916.272,100.0,1033148774.0,2.880005689249599,1.0,False,False,False,True,"{""avoid_weak_sectors"": false, ""commission_discount"": 0.28, ""commission_rate"": 0.001425, ""fixed_notional_twd"": 300000.0, ""initial_capital_twd"": 1000000.0, ""max_gross_exposure_pct"": 1.0, ""max_notional_per_industry_pct"": 0.35, ""max_notional_per_sector_pct"": 0.7, ""max_notional_per_symbol_pct"": 0.2, ""max_positions_per_day"": 5, ""max_trades_per_symbol_per_month"": 5, ""minimum_commission_twd"": 20.0, ""not_bear_regime"": false, ""random_seed"": 42, ""ranking_method"": ""fill_quality_score"", ""sector_allowlist"": null, ""sell_tax_rate"": 0.003, ""sizing_method"": ""fixed"", ""slippage_bps_per_side"": 5.0}",097dd332,4,918447fb77aaa0cc865a,097dd332
f5f395567ea108c531b1,f2ae5ec04c15,90b2096ff33b7b0f592f,TPEX:5426:20240110:closed_limit_up:1b35862ddc4d,5426,振發,TPEX,Technology/Electronics,Computer/Peripheral,2024-01-10,2024-01-10,2024-01-11,1,29.25,30.0,6000,fill_quality_score,2,90.0,175500.0,180000.0,4500.0,3640.4055,0.02564102564102564,0.02074305128205128,70.0245,71.82000000000001,540.0,177.75,859.5945,90.0,959679790.0,3.2415821252619605,2.0,False,False,False,True,"{""avoid_weak_sectors"": false, ""commission_discount"": 0.28, ""commission_rate"": 0.001425, ""fixed_notional_twd"": 300000.0, ""initial_capital_twd"": 1000000.0, ""max_gross_exposure_pct"": 1.0, ""max_notional_per_industry_pct"": 0.35, ""max_notional_per_sector_pct"": 0.7, ""max_notional_per_symbol_pct"": 0.2, ""max_positions_per_day"": 5, ""max_trades_per_symbol_per_month"": 5, ""minimum_commission_twd"": 20.0, ""not_bear_regime"": false, ""random_seed"": 42, ""ranking_method"": ""fill_quality_score"", ""sector_allowlist"": null, ""sell_tax_rate"": 0.003, ""sizing_method"": ""fixed"", ""slippage_bps_per_side"": 5.0}",097dd332,5,f5f395567ea108c531b1,097dd332
c7880177a1356154aa06,f2ae5ec04c15,6ae085ce4ddf8e3c98d1,TPEX:6140:20240110:closed_limit_up:4f39afbc9311,6140,訊達電腦,TPEX,Technology/Electronics,Information Services,2024-01-10,2024-01-10,2024-01-11,1,38.2,42.0,5000,fill_quality_score,3,90.0,191000.0,210000.0,19000.0,18009.501,0.09947643979057591,0.09429058115183246,76.209,83.79,630.0,200.5,990.499,90.0,1179960020.0,3.5583408525675333,2.0,False,False,False,True,"{""avoid_weak_sectors"": false, ""commission_discount"": 0.28, ""commission_rate"": 0.001425, ""fixed_notional_twd"": 300000.0, ""initial_capital_twd"": 1000000.0, ""max_gross_exposure_pct"": 1.0, ""max_notional_per_industry_pct"": 0.35, ""max_notional_per_sector_pct"": 0.7, ""max_notional_per_symbol_pct"": 0.2, ""max_positions_per_day"": 5, ""max_trades_per_symbol_per_month"": 5, ""minimum_commission_twd"": 20.0, ""not_bear_regime"": false, ""random_seed"": 42, ""ranking_method"": ""fill_quality_score"", ""sector_allowlist"": null, ""sell_tax_rate"": 0.003, ""sizing_method"": ""fixed"", ""slippage_bps_per_side"": 5.0}",097dd332,6,c7880177a1356154aa06,097dd332
b954ce5d3bcc2de49911,f2ae5ec04c15,cebc84d70036312418f4,TPEX:4909:20240111:closed_limit_up:f9b611040687,4909,新復興,TPEX,Technology/Electronics,Communications/Internet,2024-01-11,2024-01-11,2024-01-12,1,38.1,39.5,5000,fill_quality_score,1,100.0,190500.0,197500.0,7000.0,6058.688,0.03674540682414698,0.031804136482939636,76.0095,78.80250000000001,592.5,194.0,941.312,100.0,817180150.0,2.910028857901973,1.0,False,False,False,True,"{""avoid_weak_sectors"": false, ""commission_discount"": 0.28, ""commission_rate"": 0.001425, ""fixed_notional_twd"": 300000.0, ""initial_capital_twd"": 1000000.0, ""max_gross_exposure_pct"": 1.0, ""max_notional_per_industry_pct"": 0.35, ""max_notional_per_sector_pct"": 0.7, ""max_notional_per_symbol_pct"": 0.2, ""max_positions_per_day"": 5, ""max_trades_per_symbol_per_month"": 5, ""minimum_commission_twd"": 20.0, ""not_bear_regime"": false, ""random_seed"": 42, ""ranking_method"": ""fill_quality_score"", ""sector_allowlist"": null, ""sell_tax_rate"": 0.003, ""sizing_method"": ""fixed"", ""slippage_bps_per_side"": 5.0}",097dd332,7,b954ce5d3bcc2de49911,097dd332
277d7453fc23a432f110,f2ae5ec04c15,53908dd1aef8a9e3b29c,TWSE:3622:20240111:closed_limit_up:a4e48d35a294,3622,洋華,TWSE,MISSING_SECTOR,MISSING_INDUSTRY,2024-01-11,2024-01-11,2024-01-12,1,49.8,49.1,4000,fill_quality_score,2,90.0,199200.0,196400.0,-2800.0,-3744.8444,-0.014056224899598393,-0.01879941967871486,79.48080000000002,78.3636,589.2,197.8,944.8444,90.0,425156712.0,2.1840181502001808,1.0,False,False,False,True,"{""avoid_weak_sectors"": false, ""commission_discount"": 0.28, ""commission_rate"": 0.001425, ""fixed_notional_twd"": 300000.0, ""initial_capital_twd"": 1000000.0, ""max_gross_exposure_pct"": 1.0, ""max_notional_per_industry_pct"": 0.35, ""max_notional_per_sector_pct"": 0.7, ""max_notional_per_symbol_pct"": 0.2, ""max_positions_per_day"": 5, ""max_trades_per_symbol_per_month"": 5, ""minimum_commission_twd"": 20.0, ""not_bear_regime"": false, ""random_seed"": 42, ""ranking_method"": ""fill_quality_score"", ""sector_allowlist"": null, ""sell_tax_rate"": 0.003, ""sizing_method"": ""fixed"", ""slippage_bps_per_side"": 5.0}",097dd332,8,277d7453fc23a432f110,097dd332
42ec0e496b04a6a9f2c8,f2ae5ec04c15,4d7316fc2afe952b2972,TPEX:5426:20240111:closed_limit_up:bfca00b52154,5426,振發,TPEX,Technology/Electronics,Computer/Peripheral,2024-01-11,2024-01-11,2024-01-12,1,32.15,33.0,6000,fill_quality_score,3,90.0,192900.0,198000.0,5100.0,4154.5809,0.026438569206842923,0.021537485225505443,76.96710000000002,79.00200000000001,594.0,195.45000000000002,945.4191000000001,90.0,840860055.0,2.5357156489811077,3.0,False,False,False,True,"{""avoid_weak_sectors"": false, ""commission_discount"": 0.28, ""commission_rate"": 0.001425, ""fixed_notional_twd"": 300000.0, ""initial_capital_twd"": 1000000.0, ""max_gross_exposure_pct"": 1.0, ""max_notional_per_industry_pct"": 0.35, ""max_notional_per_sector_pct"": 0.7, ""max_notional_per_symbol_pct"": 0.2, ""max_positions_per_day"": 5, ""max_trades_per_symbol_per_month"": 5, ""minimum_commission_twd"": 20.0, ""not_bear_regime"": false, ""random_seed"": 42, ""ranking_method"": ""fill_quality_score"", ""sector_allowlist"": null, ""sell_tax_rate"": 0.003, ""sizing_method"": ""fixed"", ""slippage_bps_per_side"": 5.0}",097dd332,9,42ec0e496b04a6a9f2c8,097dd332
